c=2: rows n-j for j=1..160, horizon 1200 columns
   j  period  transient  distinct-tails(4 first cells)  pattern(canonical)
   76      8       115    1   01121203
   77      8       119    1   00121213
   78      8       120    1   00011212
   79      8       121    1   12133323
   80      8       122    1   01120203
   81      8       123    1   00121313
   82      8       122    1   00011201
   83      8       123    1   13222232
   84      8       125    1   03111032
   85      8       126    1   01233033
   86      8       127    1   02202231
   87      8       129    1   01311311
   88      8       130    1   01201223
   89      8       132    1   00113211
   90      8       138    1   03233323
   91      8       141    1   00210203
   92      8       143    1   00032213
   93      8       149    1   00002112
   94      8       150    1   12313333
   95      8       151    1   01020231
   96      8       152    1   01322131
   97      8       153    1   01320312
   98      8       155    1   01132033
   99      8       160    1   02232033
  100      8       161    1   02211033
  101      8       164    1   02211233
  102      8       165    1   02211231
  103      8       167    1   01311231
  104      8       169    1   01210132
  105      8       172    1   03321223
  106      8       176    1   00203211
  107      8       177    1   03233313
  108      8       176    1   00210201
  109      8       175    1   12213222
  110      8       175    1   03112112
  111      8       175    1   01212313
  112      8       176    1   00112101
  113      8       177    1   12233323
  114      8       177    1   01110203
  115      8       177    1   00123313
  116      8       178    1   00011023
  117      8       180    1   00001221
  118      8       179    1   11222223
  119      8       180    1   01211111
  120      8       179    1   12323223
  121      8       179    1   01103031
  122      8       181    1   00233233
  123      8       183    1   02102221
  124      8       185    1   11122122
  125      8       186    1   11211232
  126      8       188    1   03231231
  127      8       190    1   01101303
  128      8       194    1   00223223
  129      8       195    1   00031031
  130      8       196    1   01301333
  131      8       201    1   00100102
  132      8       204    1   13322233
  133      8       206    1   02111023
  134      8       208    1   00323221
  135      8       209    1   03031222
  136      8       212    1   00231113
  137      8       215    1   00030123
  138      8       221    1   00002231
  139      8       226    1   01333311
  140      8       230    1   02023223
  141      8       232    1   00331031
  142      8       234    1   01330233
  143      8       237    1   02210223
  144      8       239    1   00312211
  145      8       240    1   01112333
  146      8       239    1   00123102
  147      8       239    1   01313321
  148      8       238    1   01021223
  149      8       239    1   00131211
  150      8       240    1   01123332
  151      8       240    1   02033231
  152      8       242    1   01313021
  153      8       243    1   00322301
  154      8       242    1   00133031
  155      8       242    1   01332022
  156      8       242    1   02131132
  157      8       242    1   01203312
  158      8       243    1   02313213
  159      8       245    1   00301032
  160      8       246    1   00130333
c=3: row-pattern sequence eventually periodic in j? None  (vertical period, first row index)
c=3: distinct patterns among rows 1..160: 160; max period 8
