n=18 c=2 deepest=12 Q_n=D_0=39728 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
n=26 c=2 deepest=15 [9s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6      280065    12782   6430  10322    5194     432   0.497  0.503  0.808   0.406
  7      112567     5192   2587   4146    2072     273   0.510  0.498  0.799   0.399
  8       45905     2072   1038   1670     836     212   0.504  0.501  0.806   0.403
  9       18361      836    414    679     333     212   0.521  0.495  0.812   0.398
  10       7410      333    168    261     130     172   0.523  0.505  0.784   0.390
  11       2856      130     70    106      55     172   0.566  0.538  0.815   0.423
  12       1277       55     22     42      20     128   0.559  0.400  0.764   0.364
  13        648       20     10     15       8     128   0.685  0.500  0.750   0.400
  14        432        8      4      7       4     128   0.736  0.500  0.875   0.500
  15        318        4      3      0       0     128   0.811  0.750  0.000   0.000
n=26 c=3 deepest=15 [8s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6      279407    13311   6724  10757    5444     340   0.498  0.505  0.808   0.409
  7      112644     5442   2711   4405    2188     252   0.494  0.498  0.809   0.402
  8       45141     2187   1074   1772     873     202   0.475  0.491  0.810   0.399
  9       17074      873    431    695     350     170   0.478  0.494  0.796   0.401
  10       6642      350    190    285     160     134   0.595  0.543  0.814   0.457
  11       3345      160     76    135      62     134   0.474  0.475  0.844   0.388
  12       1158       62     33     47      25      70   0.496  0.532  0.758   0.403
  13        454       25      8     22       6      70   0.335  0.320  0.880   0.240
  14        132        6      3      3       2      48   0.727  0.500  0.500   0.333
  15         64        2      0      2       0      48   0.000  0.000  1.000   0.000
n=27 c=2 deepest=17 [18s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6      553230    22790  11336  18350    9076     366   0.501  0.497  0.805   0.398
  7      222074     9065   4531   7356    3655     332   0.505  0.500  0.811   0.403
  8       90003     3654   1832   2958    1496     298   0.517  0.501  0.810   0.409
  9       37676     1496    745   1206     603     182   0.511  0.498  0.806   0.403
  10      15636      603    307    501     262     182   0.508  0.509  0.831   0.434
  11       6775      262    124    203      98     158   0.471  0.473  0.775   0.374
  12       2414       98     50     85      44     144   0.617  0.510  0.867   0.449
  13       1418       44     20     29      13     144   0.551  0.455  0.659   0.295
  14        361       13      7      9       7      77   0.612  0.538  0.692   0.538
  15        221        7      5      4       3      77   0.783  0.714  0.571   0.429
  16         40        3      3      2       2      20   1.000  1.000  0.667   0.667
  17         36        2      0      1       0      20   0.000  0.000  0.500   0.000
n=27 c=3 deepest=19 [18s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6      557098    23333  11557  18898    9404     350   0.497  0.495  0.810   0.403
  7      226879     9402   4659   7569    3773     311   0.493  0.496  0.805   0.401
  8       91797     3770   1908   3040    1554     276   0.511  0.506  0.806   0.412
  9       38295     1553    804   1277     671     260   0.507  0.518  0.822   0.432
  10      15831      671    329    545     270     158   0.463  0.490  0.812   0.402
  11       6031      270    137    231     113     136   0.512  0.507  0.856   0.419
  12       2532      113     53     90      43     136   0.513  0.469  0.796   0.381
  13       1046       43     21     38      19      80   0.551  0.488  0.884   0.442
  14        420       19     11     15       8      76   0.693  0.579  0.789   0.421
  15        207        8      4      7       3      76   0.643  0.500  0.875   0.375
  16         85        3      2      3       2      76   0.106  0.667  1.000   0.667
  17          9        2      2      2       2       5   1.000  1.000  1.000   1.000
  18          9        2      1      2       1       5   0.556  0.500  1.000   0.500
  19          5        1      0      0       0       5   0.000  0.000  0.000   0.000
n=28 c=2 deepest=21 [40s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6     1109837    39847  19937  32265   16131     540   0.502  0.500  0.810   0.405
  7      451254    16121   8166  13007    6579     540   0.508  0.507  0.807   0.408
  8      184954     6579   3326   5353    2725     540   0.505  0.506  0.814   0.414
  9       77289     2725   1394   2164    1115     515   0.517  0.512  0.794   0.409
  10      30867     1115    565    913     460     296   0.507  0.507  0.819   0.413
  11      12753      460    244    376     199     296   0.528  0.530  0.817   0.433
  12       5264      199     91    162      76     156   0.461  0.457  0.814   0.382
  13       2060       76     43     63      31     134   0.552  0.566  0.829   0.408
  14        696       31     18     27      14      64   0.595  0.581  0.871   0.452
  15        308       14      5      9       4      48   0.273  0.357  0.643   0.286
  16         80        4      1      4       1      36   0.400  0.250  1.000   0.250
  17         32        1      1      1       1      32   1.000  1.000  1.000   1.000
  18         32        1      1      1       1      32   1.000  1.000  1.000   1.000
  19         32        1      1      1       1      32   1.000  1.000  1.000   1.000
  20         32        1      1      1       1      32   1.000  1.000  1.000   1.000
  21         32        1      0      1       0      32   0.000  0.000  1.000   0.000
n=28 c=3 deepest=17 [33s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6     1113239    41187  20457  33309   16643     516   0.492  0.497  0.809   0.404
  7      448388    16633   8287  13505    6725     496   0.505  0.498  0.812   0.404
  8      182708     6722   3299   5403    2626     459   0.484  0.491  0.804   0.391
  9       71262     2626   1308   2142    1048     328   0.516  0.498  0.816   0.399
  10      29943     1048    551    829     434     328   0.506  0.526  0.791   0.414
  11      11918      434    216    354     172     204   0.458  0.498  0.816   0.396
  12       4195      172     93    138      73     204   0.605  0.541  0.802   0.424
  13       1927       73     45     62      37     204   0.517  0.616  0.849   0.507
  14        836       37     21     29      16      96   0.455  0.568  0.784   0.432
  15        256       16      9     13       7      40   0.414  0.562  0.812   0.438
  16         86        7      2      6       1      24   0.349  0.286  0.857   0.143
  17         24        1      0      0       0      24   0.000  0.000  0.000   0.000
n=29 c=2 deepest=19 [92s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  7      917828    28696  14390  23244   11700     546   0.501  0.501  0.810   0.408
  8      372537    11699   5899   9452    4774     534   0.503  0.504  0.808   0.408
  9      152182     4774   2492   3850    1998     374   0.525  0.522  0.806   0.419
  10      63822     1998    981   1602     782     374   0.510  0.491  0.802   0.391
  11      25450      782    408    649     334     374   0.511  0.522  0.830   0.427
  12      10807      334    153    271     123     300   0.464  0.458  0.811   0.368
  13       3923      123     67     92      53     202   0.528  0.545  0.748   0.431
  14       1578       53     25     42      18      96   0.364  0.472  0.792   0.340
  15        342       18     11     17      10      52   0.673  0.611  0.944   0.556
  16        198       10      4     10       4      52   0.515  0.400  1.000   0.400
  17        102        4      2      3       2      52   0.725  0.500  0.750   0.500
  18         74        2      1      2       1      52   0.703  0.500  1.000   0.500
  19         52        1      0      1       0      52   0.000  0.000  1.000   0.000
n=29 c=3 deepest=16 [97s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  7      893574    29153  14585  23569   11742     722   0.506  0.500  0.808   0.403
  8      360917    11741   5820   9462    4678     722   0.500  0.496  0.806   0.398
  9      146548     4678   2351   3806    1911     722   0.500  0.503  0.814   0.409
  10      60071     1911    943   1542     757     296   0.510  0.493  0.807   0.396
  11      24341      757    385    613     307     222   0.515  0.509  0.810   0.406
  12      10245      307    159    253     126     222   0.486  0.518  0.824   0.410
  13       3947      126     55    100      41     222   0.457  0.437  0.794   0.325
  14       1494       41     24     32      19     160   0.651  0.585  0.780   0.463
  15        840       19      9     16       8     160   0.381  0.474  0.842   0.421
  16        296        8      1      7       0     120   0.162  0.125  0.875   0.000
n=30 c=2 deepest=18 [293s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  8      729189    20502  10178  16642    8242     606   0.500  0.496  0.812   0.402
  9      293425     8242   4188   6654    3380     606   0.510  0.508  0.807   0.410
  10     119399     3379   1687   2710    1365     500   0.499  0.499  0.802   0.404
  11      48580     1365    698   1113     574     498   0.507  0.511  0.815   0.421
  12      20090      574    278    464     212     498   0.474  0.484  0.808   0.369
  13       7234      212    113    174      93     362   0.509  0.533  0.821   0.439
  14       3189       93     43     78      37     362   0.448  0.462  0.839   0.398
  15       1279       37     19     30      19     222   0.566  0.514  0.811   0.514
  16        724       19     10     17       9     222   0.362  0.526  0.895   0.474
  17        254        9      2      9       2      80   0.150  0.222  1.000   0.222
  18         38        2      1      1       0      24   0.632  0.500  0.500   0.000
n=30 c=3 deepest=19 [280s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  8      729970    20764  10328  16752    8365     632   0.502  0.497  0.807   0.403
  9      295607     8365   4205   6789    3415     632   0.494  0.503  0.812   0.408
  10     117192     3415   1745   2768    1403     440   0.508  0.511  0.811   0.411
  11      47269     1403    673   1129     543     368   0.482  0.480  0.805   0.387
  12      18615      543    272    430     219     258   0.532  0.501  0.792   0.403
  13       8176      219    102    164      73     258   0.427  0.466  0.749   0.333
  14       2624       73     32     60      27     258   0.402  0.438  0.822   0.370
  15        644       27     14     21      10     120   0.435  0.519  0.778   0.370
  16        194       10      5      8       5      64   0.402  0.500  0.800   0.500
  17         78        5      2      3       1      44   0.615  0.400  0.600   0.200
  18         44        1      1      1       1      44   1.000  1.000  1.000   1.000
  19         44        1      0      1       0      44   0.000  0.000  1.000   0.000

pooled by absolute level k (all n, c above):  N  D  pE_src  pE_states  pHC_states  pboth_states  maxfib
  k=6   N=  4447297 D=  187329 pE_st= 0.499 pHC_st= 0.809 pboth_st= 0.404 maxfib=540
  k=7   N=  3610079 D=  133497 pE_st= 0.500 pHC_st= 0.808 pboth_st= 0.404 maxfib=722
  k=8   N=  2923051 D=   95188 pE_st= 0.498 pHC_st= 0.808 pboth_st= 0.403 maxfib=722
  k=9   N=  1183357 D=   38365 pE_st= 0.506 pHC_st= 0.809 pboth_st= 0.410 maxfib=722
  k=10  N=   481714 D=   15715 pE_st= 0.504 pHC_st= 0.806 pboth_st= 0.407 maxfib=500
  k=11  N=   195012 D=    6403 pE_st= 0.504 pHC_st= 0.814 pboth_st= 0.410 maxfib=498
  k=12  N=    79232 D=    2623 pE_st= 0.491 pHC_st= 0.806 pboth_st= 0.392 maxfib=498
  k=13  N=    31695 D=    1029 pE_st= 0.505 pHC_st= 0.789 pboth_st= 0.388 maxfib=362
  k=14  N=    12056 D=     399 pE_st= 0.506 pHC_st= 0.799 pboth_st= 0.406 maxfib=362
