cross-check OK against common/rule30.simulate_seed

=== w=16: 18 pairs with same centre trace (400 steps) and r differing on the zero set ===
  0b1011001111100000101 vs 0b11000111000110001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011001111100000101 vs 0b1000111000110001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011001111100000101 vs 0b11000111000110001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111001111100000101 vs 0b1000111000110001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111001111100000101 vs 0b11000111000110001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11110001001011000001 vs 0b10110000000111000001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11110001001011000001 vs 0b1110000000111000001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11101000100111000001 vs 0b10000110111100100101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10111100011010000101 vs 0b10000110111100100101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1111100011010000101 vs 0b10000110111100100101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10000110111100100101 vs 0b1011010111101001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10000110111100100101 vs 0b11011010111101001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10000110111100100101 vs 0b111010111101001101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11110011001111000001 vs 0b1011011001111000001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11110011001111000001 vs 0b11011011001111000001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11110011001111000001 vs 0b111011001111000001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011011001111000001 vs 0b10010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011011001111000001 vs 0b1010010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011011001111000001 vs 0b11010010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011011001111000001 vs 0b110010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011011001111000001 vs 0b11111001101101110101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011011001111000001 vs 0b10010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011011001111000001 vs 0b1010010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011011001111000001 vs 0b11010010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011011001111000001 vs 0b110010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011011001111000001 vs 0b11111001101101110101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111011001111000001 vs 0b10010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111011001111000001 vs 0b1010010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111011001111000001 vs 0b11010010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111011001111000001 vs 0b110010010010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111011001111000001 vs 0b11111001101101110101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10110110011111000001 vs 0b100101000010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10110110011111000001 vs 0b10100101000010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10110110011111000001 vs 0b1100101000010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1110110011111000001 vs 0b100101000010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1110110011111000001 vs 0b10100101000010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1110110011111000001 vs 0b1100101000010000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10110000100110100001 vs 0b11100001100110100001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1110000100110100001 vs 0b11100001100110100001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011001011101100001 vs 0b1001110110001000011: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1011001011101100001 vs 0b11001110110001000011: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011001011101100001 vs 0b1001110110001000011: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11011001011101100001 vs 0b11001110110001000011: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111001011101100001 vs 0b1001110110001000011: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b111001011101100001 vs 0b11001110110001000011: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10110000001000010001 vs 0b10110100111100110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10110000001000010001 vs 0b1110100111100110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1110000001000010001 vs 0b10110100111100110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1110000001000010001 vs 0b1110100111100110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100111000001010001 vs 0b10110110001101000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100111000001010001 vs 0b1110110001101000101: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100111100111010001 vs 0b1011001111101110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100111100111010001 vs 0b11011001111101110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100111100111010001 vs 0b111001111101110001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1010101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1010101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b101010101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b101010101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10101010101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10101010101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1101010101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1101010101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11010101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11010101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
