
# n=9 c=2  (kmax=4)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  8     69     13    10     5.31   0
  9     20      4     6     5.00   0
 10      6      1     6     6.00   0

# summary: n c kmax smax_overall
  9 2   4    2
  9 3   8    6
 10 2   5    4
 10 3   7    4
 11 2   6    4
 11 3   7    4
 12 2   9    4
 12 3   8    4
 13 2   7    8
 13 3   9    6
 14 2  10    8
 14 3   8    6
 15 2   9    8
 15 3   8    8
 16 2  10    8
 16 3  10   12
 17 2  11   12
 17 3  10   10
