mode  n  c  deepest  maxR(k)  argmaxk  slope(bits/col)   N_k ...
RW   14  2       10     1.00        0    -1.375   [16384, 6145, 2685, 1099, 386, 134, 57, 21, 6, 4, 4, 0, 0, 0, 0, 0, 0]
E    14  2       11     1.04        2    -1.084   [16384, 8193, 4250, 2098, 934, 438, 230, 122, 53, 14, 4, 4, 0, 0, 0, 0, 0]
HC   14  2       16  2276.00       16    -0.302   [16384, 12290, 10291, 8210, 6535, 5235, 4178, 3343, 2687, 2098, 1793, 1493, 1243, 990, 832, 671, 569]
RW   14  3        8     1.00        0    -1.378   [16384, 6145, 2684, 1072, 407, 145, 42, 25, 8, 0, 0, 0, 0, 0, 0, 0, 0]
E    14  3       11     1.01        2    -1.158   [16384, 8191, 4118, 1994, 948, 419, 177, 86, 45, 8, 2, 2, 0, 0, 0, 0, 0]
HC   14  3       16  2276.00       16    -0.302   [16384, 12290, 10291, 8210, 6535, 5235, 4178, 3343, 2687, 2098, 1793, 1493, 1243, 990, 832, 671, 569]
RW   15  2        9     1.00        0    -1.327   [32768, 12134, 4829, 1680, 727, 272, 92, 43, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0]
E    15  2       11     1.00        1    -1.068   [32768, 16385, 7861, 3635, 1942, 1003, 424, 197, 107, 58, 12, 12, 0, 0, 0, 0, 0, 0]
HC   15  2       17  4252.00       17    -0.289   [32768, 24667, 20622, 16446, 13307, 10719, 8738, 6879, 5717, 4691, 3819, 3094, 2594, 2122, 1799, 1536, 1294, 1063]
RW   15  3        8     1.00        0    -1.440   [32768, 12533, 5054, 2065, 818, 333, 142, 30, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]
E    15  3       16    36.00       16    -0.742   [32768, 16383, 8085, 4036, 2053, 1052, 581, 271, 120, 62, 27, 20, 18, 18, 18, 18, 18, 0]
HC   15  3       17  4252.00       17    -0.289   [32768, 24667, 20622, 16446, 13307, 10719, 8738, 6879, 5717, 4691, 3819, 3094, 2594, 2122, 1799, 1536, 1294, 1063]
RW   16  2       10     1.00        0    -1.362   [65536, 24540, 10598, 4332, 2017, 765, 255, 124, 35, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0]
E    16  2       14     2.00       14    -0.982   [65536, 32590, 16819, 8767, 4561, 2066, 998, 598, 276, 182, 70, 30, 12, 8, 8, 0, 0, 0, 0]
HC   16  2       18  5168.00       18    -0.302   [65536, 49449, 41176, 32940, 26870, 21408, 17559, 14292, 11426, 9323, 7776, 6292, 5240, 4264, 3585, 2866, 2205, 1785, 1292]
RW   16  3       10     1.00        0    -1.224   [65536, 24909, 10412, 3977, 1698, 625, 234, 99, 54, 28, 18, 0, 0, 0, 0, 0, 0, 0, 0]
E    16  3       14     3.00       13    -0.909   [65536, 32946, 16743, 8110, 4167, 2043, 1120, 608, 304, 182, 95, 26, 26, 24, 12, 0, 0, 0, 0]
HC   16  3       18  5168.00       18    -0.302   [65536, 49449, 41176, 32940, 26870, 21408, 17559, 14292, 11426, 9323, 7776, 6292, 5240, 4264, 3585, 2866, 2205, 1785, 1292]
RW   17  2       11     1.00        0    -1.309   [131072, 49654, 20867, 8447, 3519, 1468, 655, 224, 66, 23, 13, 10, 0, 0, 0, 0, 0, 0, 0, 0]
E    17  2       13     1.44       11    -0.970   [131072, 66051, 33018, 16193, 8196, 4401, 2212, 1124, 480, 273, 165, 92, 37, 7, 0, 0, 0, 0, 0, 0]
HC   17  2       19  7400.00       19    -0.319   [131072, 98606, 82490, 65569, 53644, 43042, 35089, 28106, 22823, 18411, 15048, 12000, 9896, 7868, 6182, 4901, 3651, 2839, 2385, 1850]
RW   17  3       10     1.00        0    -1.388   [131072, 48952, 20763, 8158, 3065, 1219, 498, 158, 69, 20, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]
E    17  3       13     1.27       11    -0.977   [131072, 65021, 32461, 16177, 7770, 3972, 1932, 1020, 566, 277, 150, 81, 34, 2, 0, 0, 0, 0, 0, 0]
HC   17  3       19  7400.00       19    -0.319   [131072, 98606, 82490, 65569, 53644, 43042, 35089, 28106, 22823, 18411, 15048, 12000, 9896, 7868, 6182, 4901, 3651, 2839, 2385, 1850]
uv run python uc/r1-injection/rw_counts.py --min 14 --max 17  56.76s user 0.30s system 89% cpu 1:03.48 total
