##### language R13rev: forbidden bit factors ['11', '00000', '100101', '1010010', '100010010', '1010001010', '0000101010', '10010001010', '10010001001', '101000010010', '100010001010', '000010001001', '1000100001000', '1000100001001']
 n  c  |L_n|   deepest  need  slack  deepest/n   witness(bits, prefix|forced)
16  2      333      5    18    13    0.312   0010010010010000|101010   (0.0s)
16  3      333      5    18    13    0.312   0101010101010101|000010   (0.0s)
17  2      423      4    19    15    0.235   01001000010010010|00010   (0.0s)
17  3      423      3    19    16    0.176   10101010101010101|0100   (0.0s)
18  2      543      7    20    13    0.389   100001000010001000|01010011   (0.0s)
18  3      543      4    20    16    0.222   100001000101000100|00100   (0.0s)
19  2      688      5    21    16    0.263   1010101010101010001|000100   (0.0s)
19  3      688      6    21    15    0.316   0100100100001010001|0001000   (0.0s)
20  2      873      5    22    17    0.250   01000010010000100010|100000   (0.0s)
20  3      873      4    22    18    0.200   10010010000101000100|01000   (0.1s)
21  2     1109      5    23    18    0.238   001000101010001000100|010011   (0.1s)
21  3     1109      4    23    19    0.190   101000100010001000100|01010   (0.0s)
22  2     1407      4    24    20    0.182   1001000010100001010001|00011   (0.1s)
22  3     1407      4    24    20    0.182   1001001001001001000010|10011   (0.0s)
23  2     1780      6    25    19    0.261   10000100100100001001001|0010011   (0.1s)
23  3     1780      6    25    19    0.261   10010010010010010000100|0101010   (0.2s)
24  2     2251      5    26    21    0.208   100100001000010010010000|101011   (0.1s)
24  3     2251      8    26    18    0.333   100001010000100001000010|100001001   (0.1s)
25  2     2846      6    27    21    0.240   1010101000100001010001000|1000100   (0.2s)
25  3     2846      6    27    21    0.240   1010101000010000100001010|0001001   (0.2s)
26  2     3599      6    28    22    0.231   01000101010000100001000100|0100001   (0.2s)
26  3     3599      5    28    23    0.192   10101000010000100010101010|100011   (0.2s)
27  2     4544      7    29    22    0.259   001000101010101010101000010|00010011   (0.4s)
27  3     4544      6    29    23    0.222   100001001001000010010010001|0000101   (0.3s)
28  2     5731      6    30    24    0.214   1001001000010000100001000100|0100001   (0.4s)
28  3     5731      6    30    24    0.214   0100001010000100001000010010|0100000   (0.4s)
29  2     7242      5    31    26    0.172   10100001000101010101010101010|001010   (0.5s)
29  3     7242      6    31    25    0.207   10010010010000100100010000101|0001011   (0.5s)
30  2     9136      6    32    26    0.200   010101000010000100001001001001|0001010   (0.7s)
30  3     9136      7    32    25    0.233   100100001000101010100001000010|01001001   (0.7s)
31  2    11523      9    33    24    0.290   1010000100001000101010101010000|1010001010   (0.9s)
31  3    11523      7    33    26    0.226   1000101010101010000100001000010|00010000   (0.8s)
32  2    14533      7    34    27    0.219   10101010000100010101010101000010|10001010   (1.1s)
32  3    14533      6    34    28    0.188   10101000010001000100010000101000|0100000   (1.1s)
