 m   |R_m|   ratio   sat-calls  new minimal forbidden factors   (time)
31    4502   1.152       4543  0000100001010100010000100001001,0000100010010010000100001001000,0000100010100010000100100001001,0001000010000100100100100001001,0001000010000101010001000010101,0001000100010001010000101010101,0001001000010010000100100001001,0010001000101000010001010000101,0010001000101010101010101010100,0010001001000010000100100001001,0010101010100010000100100001001,0010101010100010000101000010101,0100001000010010000100001001000,0100001010000100100100100001001,0100001010000101010001000010101,0100001010001000010100001010001,0100010000100001001000010000101,0100010001000101000010001010100,0100010001010000100010100001000,0100010001010000100010101010100,0100010001010001000010101010100,0100010010010010000100001001000,0100010010010010010000100001001,0100010101010001000010101010100,0100100001000010010000100001001,0100100100100100001001001001001,0101000010100001001001001001001,0101010001000010000100100001001,0101010001000010101010101010100,1000010001010101000100001001001,1000010100001010001000010000101,1001000010000101010001000010101,1001000010100001001001001001000,1001000010100010000101000010101,1001000100010001010000100001001,1001000101000010101000100001000,1001000101010100010000100001001,1001001000010000100100100001001,1001001000010000101010101010100,1010000101000010010000100001001,1010001010101000100001001001001   (9.2s)
32    5153   1.145       5192  00001000100010010000100100001001,00001000101000010101000100001000,00001000101010100010000100001001,00001000101010100010000101010101,00001001000010000100100100001001,00001001001000010000100100001001,00001010000100100100100001001001,00001010000101010101010101010100,00010000101000010100001001001001,00010000101010100010000100001001,00010001000100100001001001001001,00100010001000100010100001010101,00100010001000101000100001001001,00100010001010101000100001001001,01000010001010000100010101010100,01000010001010000100100001001001,01000010001010001000010100001000,01000100001000010010000100001001,01000100001000010100001010000100,01000100001000010101000100001000,01000100010100001000101000010100,01000100010100010000101000010101,01000100100100100001001001001001,01001000010000100001000010000101,01001000010000100100100100001001,01001001000010010000100100001001,01010000101000010100001001001001,01010000101010001000010101010100,01010001000010010000100100001001,10000100001000010000100001001001,10000100001000010000101000010101,10000100010100001001000010000101,10001000010101010101000100001000,10001001001000010000100100001001,10010000101000010000100001001001,10010000101000010010000100001001,10010000101000010100001001001001,10100010100001010001000010000101,10100010101010101010001000010100   (12.3s)
33    5875   1.140       5920  000010000100001010101010101010100,000010000101010101000100001010101,000100001001000010000100001001001,000100100001000010101000100001000,000100100100100100100100001001001,001000010101010001000010101010100,001000100001000010000100001001001,001000100010101010101010101010100,001000101000010010000100100001001,001001000010000100001001001001001,001010101010001000010100001001000,001010101010001000010100001010001,010000100001010000100100001001000,010000100010100010000101000010101,010000100100100100100100100001001,010000101000010100001001001001001,010000101000010101000100001001000,010000101000100001001000010000101,010000101000100001001001001001001,010000101000100001010000101010101,010001000010000101010100010000100,010001000100010010010000100001001,010001000101000010000100100001001,010001000101000010100001001001001,010001000101000010101000100001000,010001001000010000100100100001001,010001010001000010101010101010100,010001010101000100001001001001001,010010010000100001001000010000101,010100001010100010000100100001001,010100001010101000100001001001001,010100010000100100100001001001000,010100010000100100100100100001001,100100001001000010000100001001001,100100001010001000010100001001000,100100001010100010000101000010101,100100001010101000100001001001001,100100010001000100010000100001001,100100100001000010101000100001000,100101000010100010000101000010101,100101000010101010101000100001001,100101010100010000100100100001001,101000010101010100010000101010100,101000101000010010000100001001000,101000101000010010000100100001001   (14.9s)
34    6664   1.134       6713  0000100001010100010000100100001001,0000100010010000100001000010000101,0000100010101010101000100001001000,0000101000010001000101000100001001,0000101000010101010101000100001001,0001000010000101010101010101010100,0001000010100010000100001010000101,0001000010101010101000100001001000,0001000100010010010000100001001000,0001000101000010010000100001001000,0001001001001000010010000100001001,0010000101000010010000100100001001,0010001000010000100001000010000101,0010001000100010100001010101010100,0100001000010010000100001001001000,0100001010000100100001001001001000,0100001010001000010101010101010100,0100010000100001010101010101010100,0100010001000101000100001001001000,0100010001010001000010100001001000,0100010001010001000010100001010001,0100010001010101000100001001001001,0100010010000100001001000010000101,0100100001000010010000100100001001,0100100001001001000010000100001001,0101000010100010000100001010000101,0101000010101010101000100001001001,0101000010101010101010100010000100,0101000100001000010000100001001001,0101000100001001001001001001001001,0101010101010100010000100100001001,1000010000100001000010100001010001,1000100001010100010000101000010101,1001000010010010010000100100001001,1001000010101010101000100001001001,1001000010101010101010100010000100,1001000100010010010010000100001001,1001000100010100001010100010000100,1001000101000100001001000010000100,1001000101000100001010000101010101,1001001001001000010000100100001001,1001010000100010001010001000010101,1001010000100010100001010101010100,1001010100010000101010001000010101,1001010101000100001001000010000101,1010000100001000010100001010000100,1010001000101000010101010101010100,1010001010000100100100100100001001,1010001010101010101000100001001000   (23.8s)
35    7541   1.132       7598  00001000010101010101010100010000101,00001000100010100001010100010000100,00001000101000010100001001001001001,00001000101000100001001000010000100,00001000101000100001010000101010101,00001010000100010001010001000010101,00010000100001010101010100010000101,00010000101000010100010000101010101,00010001010000100100100100100001001,00100010001000100010100001010000100,00100010001010101010101010101010100,00101010100010000100100100100001001,00101010101000100001001000010000100,01000010000101000010010000100001001,01000010001010001000010100001001000,01000010001010001000010100001010001,01000010001010100010000101000010101,01000010010000100001001000010000101,01000010100001010101000100001001001,01000010100010000100100100100001001,01000100001000010010010000100001001,01000100001000010101000100001001000,01000100001010100010000100100001001,01000100010001000100010000100001001,01000100010001001000010000100001001,01000100010001010001000010100001000,01000100010100001000101010101010100,01000100010100001010101010101010100,01000100010100010000100100100001001,01000100010100010000101010101010100,01000101000010000100001000010000101,01000101000010101010101000100001001,01001000010010010010000100001001000,01001000010010010010010000100001001,01010000100100100100001001001001001,01010000101000010010010000100001001,01010001000010000100001000010000101,01010001000010010010000100001001000,10000100001000010101010001000010101,10000100010101010100010000101010100,10001000101000010100001001001001001,10010000101000010010010000100001001,10010000101010001000010100001010001,10010001010000100100001001001001001,10010001010000100100100100100001001,10010010000100001010000100100001001,10010010000100001010101010101010100,10010010010010010010000100001001000,10010100001010001000010100001001000,10100001000010000100001000010000101,10100001000010000100001001001001001,10100001000010100001001001001001001,10100010010000100001001001001001001,10100010100010000100100100100001001,10101000010010000100001000010000101,10101000010010010010000100001001000,10101000010010010010010000100001001   (27.4s)
36    8534   1.132       8577  000010001000101010100010000100001001,000010001010000100100001001001001001,000010010010010010010000100100001001,000100001000010000100001000010000101,000100001000010000100001001001001001,000100001000010101010101000100001001,000100001010001000010100001010000100,000100010100010000100100100100001001,000101000010101010001000010101010100,001010001000010010010000100100001001,001010101010101010001000010100001000,010000100010100001000101010101010100,010000101000010000100001000010000101,010000101000010010000100001001001000,010000101010101010001000010100001000,010000101010101010001000010101010100,010001000010000100001001001001001001,010001000010101010101010100010000101,010001000101000010001010100010000101,010001000101000100001001000010000101,010001000101000100001001001001001001,010001000101000100001010000100001001,010001000101000100001010100010000101,010001010100010000101010001000010101,010001010101000100001001000010000101,010100001000100010010010000100001001,010100001000101000010000100001001001,010100001000101000010000100100001001,010100001010000100100100100100001001,010100001010100010000101010101010100,010101000100001000010000100100001001,010101000100001010000100100001001000,010101000100001010100010000101010101,100001000010000100001001001001001001,100001001000010000101010100010000101,100010000101010001000010100001010001,100100001010101010101010001000010101,100100010001010000101010001000010101,100100010100001010100010000101010101,100100010100010000100100100100001001,100101000010001000101000010001010100,101000101010100010000100100100001001,101010100010000100100100100001001001   (30.5s)
37    9649   1.131       9700  0000100001000010010010000100001001001,0000100001000010101010101010101010100,0000100010001010000101010001000010101,0000100100001000010101010001000010101,0000101000010001000101000010001010100,0000101000010101010101010001000010101,0000101000100001010000100100001001000,0001000100010010000100001000010000101,0001000100010101010001000010100001000,0001000101000010010000100001001001000,0001000101010101010001000010101010100,0001001000010000101010101010101010100,0010001000100010100010000100100001001,0010001001001000010010000100001001000,0010001010000100010001010001000010101,0010001010101010100010000100100001001,0010100010000101000010010000100001001,0010101010100010000100100100100001001,0010101010100010000101010100010000101,0100001000010010000100001000010000101,0100001000010010000100001001001001000,0100001000101010001000010100001010001,0100001000101010101000100001010000101,0100001010001000010100001001001001001,0100001010001000010101000100001001000,0100010000100001000010100001010000100,0100010000101010001000010100001001000,0100010001000101000010101010101010100,0100010100001001000010000100001001001,0100010101010101010001000010100001000,0100100001000010010010000100100001001,0100100001000010100010000101000010100,0101000010001010100010000100100001001,0101000010010010010010000100001001000,0101000010010010010010000100100001001,0101000100001000010100001001001001001,0101010001000010100001010001000010100,1000010000100001000010100001010000100,1000010000101010100010000100100001001,1000010010000100001010101000100001000,1001000010100001000010000100100001001,1001000010101000100001010100010000101,1001001000010000101010101010101010100,1001010100010000100100100100001001001,1010000100001000010010010000100001001,1010000100001000010100001001001001000,1010000100001010000100100100001001001,1010000101000010000100001001001001001,1010001010000100100100001001001001001,1010001010001000010101000100001010100,1010100010000101000010010000100001001   (43.4s)
38   10876   1.127      10938  00001000010000100001001001001001001000,00001000010101010101000100001010000100,00001000100100001000010000100001001001,00010000101000010000100001001001001001,00010000101000010100010000101000010101,00010001000100010100001010100010000100,00010001010000100010100001010101010100,00010001010000100010101000100001001000,00010010000100001000010010000100001001,00010010000100001010101010100010000101,00010101010101000100001001001001001001,00100010000100001000010010000100001001,00100100001000010000100001000010000101,00100100001000010000100001001001001001,01000010000100100100100001001001001001,01000010000101010001000010100001010001,01000010010010010010010000100001001000,01000010100001001000010000100001001001,01000010100001010101010101010101010100,01000010100010000101010101010101010100,01000100001000010100001001001001001001,01000100001000010101010101010101010100,01000100001010100010000101010101010100,01000100010001000101000010000100001001,01000100010001001000010010000100001001,01000100010010000100001001001001001001,01000100010100001010101000100001001001,01000101000010000100001001001001001001,01000101000010001000101000100001010100,01000101010101010001000010100001010000,01001000010000100001001001001001001000,01001000010010010000100001000010000101,01001001001001001000010010000100001001,01010000100010100001001001001001001001,01010000101000010010010010000100001001,01010000101010100010000100100100001001,01010001000010010000100001000010000101,01010001000010010010010010000100001001,01010101000100001010101010001000010101,01010101010001000010010010000100001001,01010101010001000010101010100010000101,01010101010100010000100100100100001001,01010101010101000100001001000010000100,01010101010101010001000010100001001000,10001000010101000100001010100010000101,10010000101000010010010000100100001001,10010000101010100010000100100100001001,10010000101010101010101010100010000101,10010001000100010010010010000100001001,10010001000101000010010010000100001001,10010001010001000010010010000100001001,10010001010001000010101000100001010100,10010010010010010010010010000100001001,10010101000100001010101010001000010101,10100001000010010010000100001001001000,10100001000010101000100001001001001001,10100001000010101010101010001000010101,10100010001001000010010000100001001000,10100010001010000101010101010101010100,10100010101010100010000101010101010100,10101000010010010000100001000010000101,10101000010010010010000100001001001000   (64.6s)
39   12231   1.125      12307  000010000100001000010010010000100001001,000010000100001001001000010000100001001,000010000100001010101010101010101010100,000010001000101000010010010000100001001,000010001000101010100010000100100001001,000010001001000010010000100001001001000,000010001010001000010010010000100001001,000010100001000101000010101010101010100,000010100001010101010101000100001001000,000100001000010000100100100100100001001,000100001000010010010000100001001001000,000100001000010010010010000100001001000,000100001010001000010101000100001010100,000100010001000101000010000100001001001,000100100001000010101010101000100001001,001000100010101010101010101010101010100,001000101000010001000101000100001001001,001001000010000101000010000100001001001,001010100010000101000010000100001001001,001010101010001000010100001001001001001,001010101010001000010101000100001010100,010000100001010100010000101010101010100,010000100010100001010101000100001001001,010000100010100010000101010001000010101,010000101000010000100001001001001001001,010000101000010010000100001000010000101,010000101000010010000100001001001001001,010000101000010010010000100001001001000,010000101000010101000100001001001001001,010000101010001000010101000100001010101,010001000010000101000010100001010000100,010001000010000101010001000010100001000,010001000010101000100001001000010000100,010001000010101010101000100001010000100,010001000100100001000010000100001001001,010001000101000010001010101010101010100,010001000101000100001010101010101010100,010001000101010100010000100100100001001,010001000101010101010101000100001001000,010001001000010000100100100100100001001,010001010000100100001000010100001001000,010001010001000010100001010001000010100,010010010000100001000010010000100001001,010100001000010000100100100100100001001,010100001000101000010101000100001001000,010100001010101000100001001000010000101,010100010000100001000010010000100001001,010100010000100100100100001001001001001,010101010001000010010010000100100001001,100001000010010010000100001000010000101,100001001000010000100100100100100001001,100001001000010010000100001000010000101,100001001001001001000010010000100001001,100100001000010010010000100001001001000,100100001010000100100001001001001001000,100100001010101000100001001000010000101,100100001010101010100010000100100001001,100100010001001000010010000100001001000,100100010101010001000010100001010000100,100100100001000010101010101010101010100,100100100100100001000010000100001001001,100101000010001000101000100001001001000,100101000010010010000100001000010000101,100101000010101000100001001000010000100,100101010001000010010010000100100001001,101000010000100001000010010000100001001,101000010000100001000010100001001001000,101000010000100001010101000100001001000,101000010000101000010010010000100001001,101000010101010101000100001001001001001,101000100100001000010010010000100001001,101000101000010010000100001000010000101,101000101000010010000100001001001001000,101000101000010010010010000100001001000,101010000100100001000010000100001001001,101010000100100001000010000100100001000   (104.8s)
40   13730   1.123      13801  0000100001000010101000100001001001001001,0000100001000010101010101010001000010101,0000100001001001000010010000100001001000,0000100010010010010000100001000010000101,0000100010100001000101000010000100001001,0000100010100001010101010101010101010100,0000100010101010101000100001001001001001,0000101000010010010000100001000010000101,0001000010000100001000010010000100001001,0001000010000100001000010100001001001000,0001000010100001010001000010100001001000,0001000010101010101000100001001001001001,0001000010101010101010001000010100001000,0001000100010101010001000010100001010001,0001000101000010010000100001000010000101,0001000101000010010000100001001001001000,0001000101000100001010000100100001001000,0001000101000100001010100010000101010100,0001001001001001000010010000100001001000,0001010101010101010001000010100001010001,0010001010000100010101000100001010000101,0010101000100001010000101000100001010100,0010101010101000100001001001001001001001,0010101010101010101010001000010100001000,0100001000010000101000010000100001001001,0100001000010010000100001001001001001000,0100001000010010010010010000100001001000,0100001000010010010010010000100100001001,0100001000010100001001000010000100001001,0100001000010101000100001010100010000101,0100001000101000010001010101010101010100,0100001000101010001000010100001010000100,0100001010000101010001000010100001010001,0100010000100001000010000100001010000101,0100010000100001000010100001001001001000,0100010000100001001001000010000100001001,0100010000100001010000100100100001001001,0100010000100001010101010101010101010100,0100010001001000010010000100001001001000,0100010001010000100100001000010100001001,0100010001010000100100100001001001001001,0100010001010001000010101000100001001000,0100010010010010010000100001000010000101,0100010101010001000010101000100001010100,0100100001000010000100100100100100001001,0100100001000010010010010000100001001000,0101000010010000100001010000100100001001,0101000010101000100001000010000100001001,0101000010101010101010001000010101010100,0101010001000010101010101010001000010100,0101010100010000101010001000010100001000,1000010000100001000010000100001010000101,1000010000100001000010100001001001001000,1000010001010000100100100001001001001001,1001000010101000100001010000100100001001,1001000010101010101010001000010100001000,1001000010101010101010001000010101010100,1001000100010001010000100100100001001001,1001000100010001010000101010100010000100,1001000100010010010000100001000010000101,1001000101000010010000100001001001001000,1001000101000100001010000100100001001000,1001010000100001000010010000100100001001,1001010000101010101010101010100010000101,1001010100010000101010101000100001001000,1010000100001010000100100100100100001001,1010000100001010101010101000100001001000,1010000101000010100010000101010101010100,1010000101010101000100001010100010000101,1010100001010100010000100100100100001001,1010100001010100010000101010001000010101   (152.5s)
41   15384   1.120      15468  00001000010101000100001000010000100001001,00001000100100100001000010000100001001001,00001000101000010010010010000100001001000,00001010000100001000010010000100100001001,00001010000100010101010101010001000010100,00010000100001010101010101000100001001000,00010000100001010101010101010100010000101,00010000101000100001010000100100100001001,00010000101000100001010100010000101010100,00010000101010101010001000010100001001000,00010000101010101010001000010100001010000,00010001010000100010100001001001001001001,00010001010001000010100001001000010000101,00010001010100010000100100100100001001001,00010010000100001010101010101010101010100,00010100001000100010100010000100100001001,00010101010101000100001010000100100001001,00100010001000101000010101000100001010101,00100010001010101000100001010100010000101,00100010101010101000100001001000010000100,00101010101000100001010101000100001001000,01000010000100001010000101000100001010100,01000010000100100001000010000100001001001,01000010001000100001000010000100100001001,01000010001010001000010100001001001001001,01000010001010100010000100100100100001001,01000100001000010000100001000010100001000,01000100001000010101000100001001001001001,01000100001000010101010101010001000010101,01000100010001001001001000010000100001001,01000100010001010001000010100001010000100,01000100010010010010000100001000010000101,01000100010100001001000010000101000010101,01000100010100001010101010101010101010100,01000100010100010000101000010000100001001,01000100100001001001001000010000100001001,01000100100100100001000010000100001001001,01000101000010001000101000100001001001000,01000101000100001010000101000100001010100,01001000010000100001000010100001001001000,01001000010010010010000100001000010000101,01001000010010010010010010010000100001001,01010000100010100001000010000100100001001,01010000100010100001010100010000101010101,01010000100010101000100001001000010000100,01010000101000010010010010010000100001001,01010001000010010010000100001000010000101,01010100010000100001000010000100100001001,01010101010001000010100001001001001001000,10000100001000010000100001000010100001000,10000100001000010000100001010000100001000,10000100001001001001000010000100100001001,10000100010001001001001000010000100001001,10000100010100001000010010000100100001001,10000100010100001010100010000101000010101,10000100100001001001001000010000100001001,10001000010101000100001010000100100001001,10001000010101010001000010100001010000100,10010000100100001000010010010000100001001,10010000100100100001000010000100001001001,10010000101000010010010010000100001001000,10010000101000100001000010000100100001001,10010000101000100001010100010000101010101,10010001000100010100001000010000100001001,10010001000100100001000010000100100001001,10010001000101000010000100001001001001001,10010001000101000010010010000100100001001,10010001010000100010100001001001001001001,10010001010000101010001000010100001010001,10010001010001000010010010010000100001001,10010001010001000010100001001000010000101,10010010000100001010100010000101000010101,10010010000100001010101010101010101010100,10010100001000100010100010000100100001001,10010100001010100010000100100100100001001,10100001000010101000100001001000010000101,10100001010000100001000010000100100001001,10100001010000100001000010010000100001001,10100001010000101000100001010100010000101,10100001010000101010100010000101000010101,10100001010101010001000010100001010000100,10101000010010010010000100001001001001000,10101000010010010010010010010000100001001,10101000010101000100001001001001001001001   (320.3s)
